#    L    TT             EE             BB             TE          
   380    0.18071E+04    0.19950E+02    0.35350E-01    0.36259E+02
   381    0.17949E+04    0.20001E+02    0.35453E-01    0.34447E+02
   382    0.17831E+04    0.20051E+02    0.35557E-01    0.32631E+02
   383    0.17718E+04    0.20097E+02    0.35662E-01    0.30810E+02
   384    0.17610E+04    0.20138E+02    0.35766E-01    0.28986E+02
   385    0.17505E+04    0.20177E+02    0.35871E-01    0.27158E+02
   386    0.17404E+04    0.20212E+02    0.35977E-01    0.25329E+02
   387    0.17307E+04    0.20243E+02    0.36083E-01    0.23498E+02
   388    0.17215E+04    0.20271E+02    0.36189E-01    0.21668E+02
   389    0.17126E+04    0.20292E+02    0.36296E-01    0.19837E+02
   390    0.17042E+04    0.20314E+02    0.36404E-01    0.18008E+02
   391    0.16962E+04    0.20330E+02    0.36512E-01    0.16180E+02
   392    0.16886E+04    0.20344E+02    0.36620E-01    0.14355E+02
   393    0.16814E+04    0.20354E+02    0.36729E-01    0.12533E+02
   394    0.16746E+04    0.20359E+02    0.36838E-01    0.10715E+02
