#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.656020E-01   0.578522E+07   0.577076E+07   0.878820E+02  -0.422337E+01   0.971193E+06   0.576002E+07   0.578279E+07   0.576002E+07  -0.138360E+00   0.342325E+07   0.342301E+07   0.125116E+01
   0.697021E-01   0.548053E+07   0.546724E+07   0.737418E+02  -0.355148E+01   0.856571E+06   0.545643E+07   0.547830E+07   0.545643E+07  -0.131068E+00   0.324304E+07   0.324281E+07   0.111799E+01
   0.738023E-01   0.517511E+07   0.516179E+07   0.621034E+02  -0.299703E+01   0.755069E+06   0.515197E+07   0.517288E+07   0.515197E+07  -0.123754E+00   0.306226E+07   0.306203E+07   0.104301E+01
   0.779024E-01   0.485943E+07   0.484526E+07   0.523309E+02  -0.253017E+01   0.663525E+06   0.483721E+07   0.485705E+07   0.483721E+07  -0.116194E+00   0.287532E+07   0.287509E+07   0.998920E+00
   0.820025E-01   0.455067E+07   0.453532E+07   0.442210E+02  -0.214171E+01   0.582856E+06   0.452933E+07   0.454809E+07   0.452933E+07  -0.108798E+00   0.269244E+07   0.269220E+07   0.966520E+00
   0.861027E-01   0.425922E+07   0.424277E+07   0.375352E+02  -0.182064E+01   0.512832E+06   0.423874E+07   0.425646E+07   0.423874E+07  -0.101818E+00   0.251981E+07   0.251957E+07   0.931084E+00
   0.912307E-01   0.393263E+07   0.391542E+07   0.308655E+02  -0.149942E+01   0.439542E+06   0.391322E+07   0.392974E+07   0.391322E+07  -0.939989E-01   0.232640E+07   0.232616E+07   0.870083E+00
   0.963588E-01   0.366043E+07   0.364347E+07   0.257528E+02  -0.124974E+01   0.380902E+06   0.364208E+07   0.365758E+07   0.364208E+07  -0.874858E-01   0.216529E+07   0.216507E+07   0.787412E+00
   0.101487E+00   0.344766E+07   0.343196E+07   0.218042E+02  -0.112401E+01   0.334939E+06   0.343031E+07   0.344503E+07   0.343031E+07  -0.823990E-01   0.203946E+07   0.203925E+07   0.689384E+00
   0.106615E+00   0.328659E+07   0.327287E+07   0.189194E+02  -0.886910E+00   0.298847E+06   0.327016E+07   0.328428E+07   0.327016E+07  -0.785521E-01   0.194431E+07   0.194412E+07   0.587366E+00
   0.111743E+00   0.316027E+07   0.314879E+07   0.165204E+02  -0.818457E+00   0.269592E+06   0.314467E+07   0.315834E+07   0.314467E+07  -0.755378E-01   0.186975E+07   0.186958E+07   0.493210E+00
   0.116871E+00   0.304966E+07   0.304022E+07   0.145741E+02  -0.723275E+00   0.244595E+06   0.303481E+07   0.304808E+07   0.303481E+07  -0.728989E-01   0.180447E+07   0.180432E+07   0.415930E+00
   0.121999E+00   0.293950E+07   0.293154E+07   0.128953E+02  -0.636987E+00   0.222096E+06   0.292531E+07   0.293816E+07   0.292531E+07  -0.702685E-01   0.173940E+07   0.173927E+07   0.359915E+00
   0.127127E+00   0.282062E+07   0.281344E+07   0.113970E+02  -0.561858E+00   0.201131E+06   0.280702E+07   0.281941E+07   0.280702E+07  -0.674273E-01   0.166910E+07   0.166897E+07   0.324623E+00
   0.132255E+00   0.269050E+07   0.268344E+07   0.100439E+02  -0.495724E+00   0.181376E+06   0.267744E+07   0.268931E+07   0.267744E+07  -0.643147E-01   0.159208E+07   0.159196E+07   0.305616E+00
   0.137383E+00   0.255226E+07   0.254484E+07   0.882993E+01  -0.435191E+00   0.162923E+06   0.253971E+07   0.255101E+07   0.253971E+07  -0.610062E-01   0.151021E+07   0.151008E+07   0.296378E+00
   0.142512E+00   0.241271E+07   0.240474E+07   0.775643E+01  -0.382551E+00   0.146061E+06   0.240065E+07   0.241137E+07   0.240065E+07  -0.576659E-01   0.142754E+07   0.142742E+07   0.290273E+00
   0.147640E+00   0.228046E+07   0.227203E+07   0.682856E+01  -0.338669E+00   0.131117E+06   0.226888E+07   0.227905E+07   0.226888E+07  -0.545007E-01   0.134920E+07   0.134908E+07   0.282141E+00
   0.152768E+00   0.216362E+07   0.215501E+07   0.605213E+01  -0.298690E+00   0.118312E+06   0.215250E+07   0.216217E+07   0.215250E+07  -0.517051E-01   0.128002E+07   0.127989E+07   0.269165E+00
   0.157896E+00   0.206679E+07   0.205837E+07   0.541117E+01  -0.267667E+00   0.107630E+06   0.205611E+07   0.206537E+07   0.205611E+07  -0.493896E-01   0.122271E+07   0.122259E+07   0.250907E+00
   0.163024E+00   0.198945E+07   0.198157E+07   0.488545E+01  -0.242515E+00   0.987894E+05   0.197919E+07   0.198813E+07   0.197919E+07  -0.475419E-01   0.117698E+07   0.117687E+07   0.228781E+00
   0.168152E+00   0.192733E+07   0.192021E+07   0.444870E+01  -0.220980E+00   0.913673E+05   0.191745E+07   0.192613E+07   0.191745E+07  -0.460589E-01   0.114028E+07   0.114017E+07   0.205267E+00
   0.173280E+00   0.187481E+07   0.186853E+07   0.407535E+01  -0.202468E+00   0.849449E+05   0.186529E+07   0.187375E+07   0.186529E+07  -0.448060E-01   0.110927E+07   0.110917E+07   0.183064E+00
   0.178408E+00   0.182614E+07   0.182059E+07   0.374495E+01  -0.185938E+00   0.791618E+05   0.181694E+07   0.182521E+07   0.181694E+07  -0.436447E-01   0.108052E+07   0.108044E+07   0.164305E+00
   0.183536E+00   0.177599E+07   0.177099E+07   0.344202E+01  -0.170424E+00   0.737316E+05   0.176710E+07   0.177515E+07   0.176710E+07  -0.424474E-01   0.105089E+07   0.105081E+07   0.150072E+00
   0.188664E+00   0.172095E+07   0.171623E+07   0.315648E+01  -0.156346E+00   0.684887E+05   0.171234E+07   0.172016E+07   0.171234E+07  -0.411321E-01   0.101834E+07   0.101826E+07   0.140334E+00
   0.193792E+00   0.166067E+07   0.165600E+07   0.288621E+01  -0.143586E+00   0.634098E+05   0.165233E+07   0.165989E+07   0.165233E+07  -0.396906E-01   0.982655E+06   0.982577E+06   0.134197E+00
   0.198920E+00   0.159734E+07   0.159257E+07   0.263580E+01  -0.130054E+00   0.585689E+05   0.158926E+07   0.159654E+07   0.158926E+07  -0.381756E-01   0.945155E+06   0.945078E+06   0.130274E+00
   0.204049E+00   0.153409E+07   0.152916E+07   0.240552E+01  -0.118870E+00   0.540596E+05   0.152626E+07   0.153326E+07   0.152626E+07  -0.366623E-01   0.907694E+06   0.907616E+06   0.127083E+00
   0.209177E+00   0.147398E+07   0.146892E+07   0.219756E+01  -0.110356E+00   0.499596E+05   0.146640E+07   0.147313E+07   0.146640E+07  -0.352243E-01   0.872097E+06   0.872019E+06   0.123413E+00
   0.214305E+00   0.141962E+07   0.141454E+07   0.201886E+01  -0.987819E-01   0.463170E+05   0.141227E+07   0.141877E+07   0.141227E+07  -0.339242E-01   0.839914E+06   0.839838E+06   0.118567E+00
   0.219433E+00   0.137257E+07   0.136760E+07   0.186061E+01  -0.922589E-01   0.431394E+05   0.136545E+07   0.137174E+07   0.136545E+07  -0.327995E-01   0.812073E+06   0.811999E+06   0.112419E+00
   0.224561E+00   0.133284E+07   0.132810E+07   0.172446E+01  -0.862713E-01   0.403830E+05   0.132593E+07   0.133204E+07   0.132593E+07  -0.318501E-01   0.788571E+06   0.788500E+06   0.105304E+00
   0.229689E+00   0.129901E+07   0.129458E+07   0.160658E+01  -0.803186E-01   0.379684E+05   0.129230E+07   0.129827E+07   0.129230E+07  -0.310424E-01   0.768577E+06   0.768510E+06   0.978263E-01
